Epoch, Total Squared Error,
859, 1.010077,
860, 1.010007,
861, 1.009938,
862, 1.009868,
863, 1.009797,
864, 1.009726,
865, 1.009655,
866, 1.009584,
867, 1.009512,
868, 1.009440,
869, 1.009368,
870, 1.009295,
871, 1.009222,
872, 1.009149,
873, 1.009075,
874, 1.009001,
875, 1.008927,
876, 1.008852,
877, 1.008777,
878, 1.008702,
879, 1.008626,
880, 1.008550,
881, 1.008473,
882, 1.008396,
883, 1.008319,
884, 1.008242,
885, 1.008164,
886, 1.008085,
887, 1.008007,
888, 1.007928,
889, 1.007848,
890, 1.007769,
891, 1.007689,
892, 1.007608,
893, 1.007527,
894, 1.007446,
895, 1.007364,
896, 1.007282,
897, 1.007200,
898, 1.007117,
899, 1.007034,
900, 1.006950,
901, 1.006866,
902, 1.006782,
903, 1.006697,
904, 1.006612,
905, 1.006527,
906, 1.006441,
907, 1.006355,
908, 1.006268,
909, 1.006181,
910, 1.006093,
911, 1.006005,
912, 1.005917,
913, 1.005828,
914, 1.005739,
915, 1.005650,
916, 1.005560,
917, 1.005469,
918, 1.005378,
919, 1.005287,
920, 1.005195,
921, 1.005103,
922, 1.005011,
923, 1.004918,
924, 1.004825,
925, 1.004731,
926, 1.004636,
927, 1.004542,
928, 1.004447,
929, 1.004351,
930, 1.004255,
931, 1.004159,
932, 1.004062,
933, 1.003964,
934, 1.003866,
935, 1.003768,
936, 1.003669,
937, 1.003570,
938, 1.003471,
939, 1.003370,
940, 1.003270,
941, 1.003169,
942, 1.003067,
943, 1.002965,
944, 1.002863,
945, 1.002760,
946, 1.002657,
947, 1.002553,
948, 1.002448,
949, 1.002344,
950, 1.002238,
951, 1.002132,
952, 1.002026,
953, 1.001919,
954, 1.001812,
955, 1.001704,
956, 1.001596,
957, 1.001487,
958, 1.001378,
959, 1.001268,
960, 1.001158,
961, 1.001047,
962, 1.000936,
963, 1.000824,
964, 1.000711,
965, 1.000599,
966, 1.000485,
967, 1.000371,
968, 1.000257,
969, 1.000142,
970, 1.000026,
971, 0.999910,
972, 0.999794,
973, 0.999677,
974, 0.999559,
975, 0.999441,
976, 0.999322,
977, 0.999203,
978, 0.999083,
979, 0.998963,
980, 0.998842,
981, 0.998720,
982, 0.998598,
983, 0.998476,
984, 0.998353,
985, 0.998229,
986, 0.998105,
987, 0.997980,
988, 0.997854,
989, 0.997728,
990, 0.997602,
991, 0.997475,
992, 0.997347,
993, 0.997219,
994, 0.997090,
995, 0.996960,
996, 0.996830,
